seq_idx,horizon_s,target_ts,is_attack,lstm_attack_prob,sample_rmse_scaled,sample_mae_scaled,actual_total_packets,predicted_total_packets,persistence_total_packets,actual_port_entropy,predicted_port_entropy,persistence_port_entropy
825,5,2018-03-02 09:21:35,0,0.9559,3.7746,1.4245,10.0,-25.1,69.0,0.9183,0.8145,1.4488
825,15,2018-03-02 09:21:45,0,0.9965,10.5134,3.9078,106.0,-104.15,69.0,2.9001,1.249,1.4488
825,25,2018-03-02 09:21:55,0,0.9973,3.4851,2.1347,115.0,-112.09,69.0,2.5488,1.2918,1.4488
826,5,2018-03-02 09:21:40,0,0.8439,3.2045,1.3716,25.0,-22.21,10.0,1.9219,0.775,0.9183
826,15,2018-03-02 09:21:50,0,0.9961,7.4304,4.1588,831.0,-102.38,10.0,1.7735,1.2402,0.9183
826,25,2018-03-02 09:22:00,0,0.9973,2.8932,1.9035,39.0,-111.73,10.0,1.9183,1.2902,0.9183
827,5,2018-03-02 09:21:45,0,0.9892,10.5993,3.815,106.0,-71.6,25.0,2.9001,1.077,1.9219
827,15,2018-03-02 09:21:55,0,0.9969,3.489,2.1216,115.0,-108.49,25.0,2.5488,1.2722,1.9219
827,25,2018-03-02 09:22:05,0,0.9974,4.1461,2.1285,6.0,-112.86,25.0,0.9183,1.2955,1.9219
828,5,2018-03-02 09:21:50,0,0.9951,7.4105,4.1339,831.0,-94.36,106.0,1.7735,1.1947,2.9001
828,15,2018-03-02 09:22:00,0,0.9972,2.891,1.8999,39.0,-110.64,106.0,1.9183,1.2837,2.9001
828,25,2018-03-02 09:22:10,0,0.9974,7.4835,3.8822,879.0,-113.14,106.0,2.2165,1.2971,2.9001
829,5,2018-03-02 09:21:55,0,0.9895,3.5653,2.0138,115.0,-59.0,831.0,2.5488,1.002,1.7735
829,15,2018-03-02 09:22:05,0,0.9968,4.1225,2.0897,6.0,-106.44,831.0,0.9183,1.2598,1.7735
829,25,2018-03-02 09:22:15,0,0.9973,2.1899,1.6834,113.0,-112.04,831.0,2.25,1.291,1.7735
830,5,2018-03-02 09:22:00,0,0.9948,2.8625,1.8445,39.0,-87.93,115.0,1.9183,1.1585,2.5488
830,15,2018-03-02 09:22:10,0,0.9971,7.4758,3.8721,879.0,-109.33,115.0,2.2165,1.2757,2.5488
830,25,2018-03-02 09:22:20,0,0.9974,1.6663,1.3441,54.0,-112.69,115.0,0.8113,1.2946,2.5488
831,5,2018-03-02 09:22:05,0,0.995,4.0692,1.9937,6.0,-91.94,39.0,0.9183,1.1827,1.9183
831,15,2018-03-02 09:22:15,0,0.9971,2.1774,1.6715,113.0,-109.59,39.0,2.25,1.2778,1.9183
831,25,2018-03-02 09:22:25,0,0.9974,2.0257,1.5999,30.0,-112.83,39.0,-0.0,1.2955,1.9183
832,5,2018-03-02 09:22:10,0,0.9859,7.3781,3.7448,879.0,-64.41,6.0,2.2165,1.0441,0.9183
832,15,2018-03-02 09:22:20,0,0.9967,1.6204,1.3004,54.0,-106.11,6.0,0.8113,1.2606,0.9183
832,25,2018-03-02 09:22:30,0,0.9973,2.8032,1.7938,83.0,-112.12,6.0,1.9219,1.2922,0.9183
833,5,2018-03-02 09:22:15,0,0.9824,1.9672,1.3811,113.0,-1.28,879.0,2.25,0.709,2.2165
833,15,2018-03-02 09:22:25,0,0.9965,1.9537,1.5337,30.0,-101.64,879.0,-0.0,1.2335,2.2165
833,25,2018-03-02 09:22:35,0,0.9973,1.4765,1.2388,21.0,-111.16,879.0,1.585,1.2861,2.2165
834,5,2018-03-02 09:22:20,0,0.9556,1.1421,0.839,54.0,-24.52,113.0,0.8113,0.8093,2.25
834,15,2018-03-02 09:22:30,0,0.9963,2.7628,1.7528,83.0,-102.58,113.0,1.9219,1.2418,2.25
834,25,2018-03-02 09:22:40,0,0.9972,1.9989,1.5685,15.0,-111.32,113.0,-0.0,1.2875,2.25
835,5,2018-03-02 09:22:25,0,0.9781,1.4934,1.1193,30.0,-19.56,54.0,-0.0,0.7968,0.8113
835,15,2018-03-02 09:22:35,0,0.9964,1.419,1.1889,21.0,-102.17,54.0,1.585,1.2379,0.8113
835,25,2018-03-02 09:22:45,0,0.9973,1.4088,1.2176,38.0,-111.38,54.0,2.2516,1.2878,0.8113
836,5,2018-03-02 09:22:30,0,0.9582,2.525,1.387,83.0,20.79,30.0,1.9219,0.591,-0.0
836,15,2018-03-02 09:22:40,0,0.9957,1.8988,1.475,15.0,-96.51,30.0,-0.0,1.2046,-0.0
836,25,2018-03-02 09:22:50,0,0.9972,1.7008,1.3742,39.0,-110.42,30.0,0.9183,1.2812,-0.0
837,5,2018-03-02 09:22:35,0,0.7078,0.852,0.6554,21.0,7.35,83.0,1.585,0.6063,1.9219
837,15,2018-03-02 09:22:45,0,0.9953,1.3321,1.1502,38.0,-95.97,83.0,2.2516,1.2051,1.9219
837,25,2018-03-02 09:22:55,0,0.9972,2.2242,1.7224,14.0,-110.78,83.0,1.0,1.2832,1.9219
838,5,2018-03-02 09:22:40,0,0.9686,1.5065,1.1023,15.0,-38.49,21.0,-0.0,0.8904,1.585
838,15,2018-03-02 09:22:50,0,0.9963,1.6472,1.3222,39.0,-103.38,21.0,0.9183,1.2422,1.585
838,25,2018-03-02 09:23:00,0,0.9973,2.308,1.7332,50.0,-112.06,21.0,3.4183,1.2908,1.585
839,5,2018-03-02 09:22:45,0,0.9591,1.1201,0.8713,38.0,-23.24,15.0,2.2516,0.8036,-0.0
839,15,2018-03-02 09:22:55,0,0.9961,2.1643,1.6528,14.0,-100.6,15.0,1.0,1.2251,-0.0
839,25,2018-03-02 09:23:05,0,0.9972,2.7157,2.1472,166.0,-111.42,15.0,2.1887,1.2874,-0.0
840,5,2018-03-02 09:22:50,0,0.9855,1.3598,1.0481,39.0,-59.5,38.0,0.9183,1.0048,2.2516
840,15,2018-03-02 09:23:00,0,0.9968,2.2984,1.7076,50.0,-106.58,38.0,3.4183,1.2599,2.2516
840,25,2018-03-02 09:23:10,0,0.9973,5.9557,2.5097,13.0,-112.36,38.0,1.0,1.2926,2.2516
841,5,2018-03-02 09:22:55,0,0.986,1.9475,1.3947,14.0,-58.42,39.0,1.0,0.9981,0.9183
841,15,2018-03-02 09:23:05,0,0.9967,2.7034,2.1278,166.0,-105.5,39.0,2.1887,1.2548,0.9183
841,25,2018-03-02 09:23:15,0,0.9973,1.5806,1.2779,0.0,-112.31,39.0,0.0,1.2926,0.9183
842,5,2018-03-02 09:23:00,0,0.9486,2.2569,1.4078,50.0,-39.4,14.0,3.4183,0.8914,1.0
842,15,2018-03-02 09:23:10,0,0.9962,5.9679,2.4529,13.0,-102.47,14.0,1.0,1.2398,1.0
842,25,2018-03-02 09:23:20,0,0.9973,1.6717,1.4259,79.0,-111.7,14.0,1.585,1.2898,1.0
843,5,2018-03-02 09:23:05,0,0.9858,2.6357,1.9862,166.0,-64.83,50.0,2.1887,1.0409,3.4183
843,15,2018-03-02 09:23:15,0,0.9967,1.5397,1.2428,0.0,-106.91,50.0,0.0,1.264,3.4183
843,25,2018-03-02 09:23:25,0,0.9973,2.0115,1.577,15.0,-112.34,50.0,-0.0,1.2931,3.4183
844,5,2018-03-02 09:23:10,0,0.9923,5.9966,2.3456,13.0,-81.09,166.0,1.0,1.1269,2.1887
844,15,2018-03-02 09:23:20,0,0.997,1.6574,1.4118,79.0,-108.62,166.0,1.585,1.2733,2.1887
844,25,2018-03-02 09:23:30,0,0.9974,4.027,1.9729,19.0,-112.69,166.0,0.9183,1.2949,2.1887
845,5,2018-03-02 09:23:15,0,0.9951,1.4496,1.1638,0.0,-94.07,13.0,0.0,1.1945,1.0
845,15,2018-03-02 09:23:25,0,0.9971,1.9964,1.5629,15.0,-110.24,13.0,-0.0,1.2815,1.0
845,25,2018-03-02 09:23:35,0,0.9974,1.9411,1.5187,45.0,-113.01,13.0,-0.0,1.2966,1.0
846,5,2018-03-02 09:23:20,0,0.9878,1.5078,1.2289,79.0,-60.24,0.0,1.585,1.0076,0.0
846,15,2018-03-02 09:23:30,0,0.9969,4.0075,1.9387,19.0,-107.22,0.0,0.9183,1.2645,0.0
846,25,2018-03-02 09:23:40,0,0.9973,30.6792,10.2535,1959.0,-112.3,0.0,1.8351,1.2925,0.0
847,5,2018-03-02 09:23:25,0,0.9933,1.8256,1.4055,15.0,-83.32,79.0,-0.0,1.1382,1.585
